x,y
1595203200000.00,9214.66
1595289600000.00,9163.87
1595376000000.00,9392.66
1595462400000.00,9537.4
1595548800000.00,9613.11
1595635200000.00,9551.28
1595721600000.00,9707.5
1595808000000.00,9938.83
1595894400000.00,11042.4
1595980800000.00,10934.94
1596067200000.00,11102.67
1596153600000.00,11114.93
1596240000000.00,11343.88
1596326400000.00,11823.69
1596412800000.00,11077.77
1596499200000.00,11242.57
1596585600000.00,11194.25
1596672000000.00,11750.28
1596758400000.00,11772.94
1596844800000.00,11605.6
1596931200000.00,11767.6
1597017600000.00,11684.06
1597104000000.00,11893.03
1597190400000.00,11392.43
1597276800000.00,11573.11
1597363200000.00,11777.43
1597449600000.00,11774.38
1597536000000.00,11873.98
1597622400000.00,11914.01
1597708800000.00,12293.72
1597795200000.00,11969.53
1597881600000.00,11734
1597968000000.00,11865.82
1598054400000.00,11522.8
1598140800000.00,11683.44
1598227200000.00,11653.02
1598313600000.00,11763.93
1598400000000.00,11337.4
1598486400000.00,11467.37
1598572800000.00,11302.01
1598659200000.00,11534.75
1598745600000.00,11481.64
1598832000000.00,11707.78
1598918400000.00,11659.57
1599004800000.00,11923.25
1599091200000.00,11397.44
1599177600000.00,10187.51
1599264000000.00,10467.89
1599350400000.00,10159.62
1599436800000.00,10254.93
1599523200000.00,10367.74
1599609600000.00,10121.52
1599696000000.00,10227.83
1599782400000.00,10352.66
1599868800000.00,10395.44
1599955200000.00,10446.44
1600041600000.00,10330.77
1600128000000.00,10674.64
1600214400000.00,10785.62
1600300800000.00,10948.43
1600387200000.00,10943.89
1600473600000.00,10931.79
1600560000000.00,11081.43
1600646400000.00,10919.65
1600732800000.00,10430.46
1600819200000.00,10532.22
1600905600000.00,10234.48
1600992000000.00,10732.43
1601078400000.00,10692.84
1601164800000.00,10732.4
1601251200000.00,10774.24
1601337600000.00,10692.33
1601424000000.00,10840.8
1601510400000.00,10777.92
1601596800000.00,10619.24
1601683200000.00,10575.06
1601769600000.00,10551.77
1601856000000.00,10673.46
1601942400000.00,10788.56
1602028800000.00,10603.74
1602115200000.00,10670.8
1602201600000.00,10923.3
1602288000000.00,11063.19
1602374400000.00,11302.67
1602460800000.00,11376.61
1602547200000.00,11540.04
1602633600000.00,11428.24
1602720000000.00,11431.32
1602806400000.00,11503.73
1602892800000.00,11327.57
1602979200000.00,11366.51
1603065600000.00,11508.2
1603152000000.00,11758.16
1603238400000.00,11925.46
1603324800000.00,12831.56
1603411200000.00,12990.25
1603497600000.00,12944.52
1603584000000.00,13128.46
1603670400000.00,13036.77
1603756800000.00,13076.37
1603843200000.00,13651.47
1603929600000.00,13289
1604016000000.00,13458.66
1604102400000.00,13564.72
1604188800000.00,13810.32
1604275200000.00,13758.88
1604361600000.00,13575.17
1604448000000.00,14023.31
1604534400000.00,14155.59
1604620800000.00,15591.39
1604707200000.00,15595.77
1604793600000.00,14839.84
1604880000000.00,15490.6
1604966400000.00,15328.53
1605052800000.00,15317.04
1605139200000.00,15708.65
1605225600000.00,16295.57
1605312000000.00,16339.33
1605398400000.00,16091.07
1605484800000.00,15968.16
1605571200000.00,16725.15
1605657600000.00,17679.72
1605744000000.00,17798.45
1605830400000.00,17820.57
1605916800000.00,18687.45
1606003200000.00,18699.75
1606089600000.00,18422.28
1606176000000.00,18398.91
1606262400000.00,19172.52
1606348800000.00,18739.8
1606435200000.00,17151.44
1606521600000.00,17138.87
1606608000000.00,17732.42
1606694400000.00,18191.6
1606780800000.00,19709.73
1606867200000.00,18792.52
1606953600000.00,19226.97
1607040000000.00,19454.54
1607126400000.00,18670.49
1607212800000.00,19155.06
1607299200000.00,19377.66
1607385600000.00,19181.41
1607472000000.00,18318.87
1607558400000.00,18554.15
1607644800000.00,18247.76
1607731200000.00,18029.36
1607817600000.00,18803.44
1607904000000.00,19164.48
1607990400000.00,19276.59
1608076800000.00,19439.75
1608163200000.00,21379.48
1608249600000.00,22847.46
1608336000000.00,23150.79
1608422400000.00,23869.92
1608508800000.00,23490.58
1608595200000.00,22745.48
1608681600000.00,23824.99
1608768000000.00,23253.37
1608854400000.00,23715.53
1608940800000.00,24693.58
1609027200000.00,26443.21
1609113600000.00,26246.58
1609200000000.00,27036.69
1609286400000.00,27376.37
1609372800000.00,28856.59
1609459200000.00,28982.56
1609545600000.00,29393.75
1609632000000.00,32195.46
1609718400000.00,33000.78
1609804800000.00,32035.03
