GPU,eBay Price,QTY Sold,btc_Prices
Radeon RX 6900 XT,1501.0,132.0,45144.79
GeForce RTX 3060 12GB,695.0,1235.0,44847.48
GeForce RTX 3060 T,899.0,1630.0,44777.86
GeForce RTX 3070,1138.0,1098.0,44634.13
GeForce RTX 3070 T,1111.0,694.0,44418.83
GeForce RTX 3080,1637.0,884.0,44397.3
GeForce RTX 3080 T,1830.0,681.0,43934.85
GeForce RTX 3090,2704.0,686.0,43926.0
Radeon RX 6600,559.0,106.0,43834.02
Radeon RX 6600 XT,631.0,1026.0,43816.14
Radeon RX 6700 XT,859.0,906.0,43757.81
Radeon RX 6800,1260.0,191.0,43596.24
Radeon RX 6800 XT,1314.0,285.0,43531.11
Radeon RX 6900 XT,1512.0,302.0,43464.32
GeForce RTX 3060 12GB,698.0,2446.0,43436.17
GeForce RTX 3060 T,907.0,3782.0,43120.63
GeForce RTX 3070,1144.0,2411.0,43102.44
GeForce RTX 3070 T,1124.0,1508.0,43099.37
GeForce RTX 3080,1666.0,1872.0,42912.19
GeForce RTX 3080 T,1829.0,1439.0,42825.95
GeForce RTX 3090,2737.0,1463.0,42815.56
Radeon RX 6600,588.0,377.0,42723.37
Radeon RX 6600 XT,665.0,857.0,42580.94
Radeon RX 6700 XT,945.0,661.0,42546.44
Radeon RX 6800,1332.0,123.0,42464.4
Radeon RX 6800 XT,1384.0,283.0,42372.67
Radeon RX 6900 XT,1599.0,206.0,42245.56
GeForce RTX 3060 12GB,749.0,2159.0,42238.2
GeForce RTX 3060 T,1002.0,2166.0,42222.32
GeForce RTX 3070,1193.0,2380.0,42214.15
GeForce RTX 3070 T,1201.0,1258.0,42104.89
GeForce RTX 3080,1720.0,1448.0,41849.0
GeForce RTX 3080 T,1895.0,1483.0,41522.38
GeForce RTX 3090,2936.0,1305.0,41507.3
Radeon RX 6600,578.0,346.0,41375.79
Radeon RX 6600 XT,659.0,282.0,41250.83
Radeon RX 6700 XT,898.0,584.0,41148.06
Radeon RX 6800,1282.0,90.0,41071.41
Radeon RX 6800 XT,1387.0,234.0,41011.16
Radeon RX 6900 XT,1527.0,236.0,40946.78
GeForce RTX 3060 12GB,761.0,2020.0,40684.42
GeForce RTX 3060 T,1007.0,2796.0,40619.27
GeForce RTX 3070,1179.0,1891.0,40514.01
GeForce RTX 3070 T,1244.0,1063.0,40388.78
GeForce RTX 3080,1783.0,1495.0,40188.56
GeForce RTX 3080 T,1992.0,1141.0,40115.05
GeForce RTX 3090,2918.0,1295.0,40005.93
Radeon RX 6500 XT,365.0,14.0,40000.46
Radeon RX 6600,516.0,449.0,39770.04
Radeon RX 6600 XT,610.0,537.0,39750.14
Radeon RX 6700 XT,847.0,540.0,39727.65
Radeon RX 6800,1150.0,105.0,39674.89
Radeon RX 6800 XT,1269.0,250.0,39488.62
Radeon RX 6900 XT,1528.0,209.0,39437.89
GeForce RTX 3050,539.0,17.0,39429.01
GeForce RTX 3060 12GB,711.0,1834.0,39399.58
GeForce RTX 3060 T,923.0,2380.0,39320.82
GeForce RTX 3070,1086.0,1786.0,39249.28
GeForce RTX 3070 T,1179.0,1010.0,39193.94
GeForce RTX 3080,1613.0,1569.0,39141.25
GeForce RTX 3080 T,1874.0,871.0,39066.82
GeForce RTX 3090,2609.0,1353.0,38741.04
Radeon RX 6500 XT,272.0,124.0,38739.74
Radeon RX 6600,463.0,239.0,38728.59
Radeon RX 6600 XT,568.0,320.0,38596.28
Radeon RX 6700 XT,783.0,398.0,38510.65
Radeon RX 6800,1033.0,112.0,38475.48
Radeon RX 6800 XT,1176.0,192.0,38407.69
Radeon RX 6900 XT,1421.0,139.0,38382.32
GeForce RTX 3050,455.0,330.0,38344.78
GeForce RTX 3060 12GB,636.0,1485.0,38324.87
GeForce RTX 3060 T,847.0,2084.0,38262.17
GeForce RTX 3070,988.0,1512.0,38032.5
GeForce RTX 3070 T,1001.0,929.0,37820.39
GeForce RTX 3080,1440.0,1222.0,37727.19
GeForce RTX 3080 12GB,1547.0,82.0,37661.19
GeForce RTX 3080 T,1721.0,753.0,37585.24
GeForce RTX 3090,2341.0,968.0,37310.54
Radeon RX 6500 XT,237.0,69.0,37291.48
Radeon RX 6600,403.0,274.0,37146.85
Radeon RX 6600 XT,495.0,485.0,37092.4
Radeon RX 6700 XT,643.0,570.0,37031.08
Radeon RX 6800,888.0,98.0,36964.27
Radeon RX 6800 XT,996.0,254.0,36948.81
Radeon RX 6900 XT,1256.0,173.0,36823.5
GeForce RTX 3050,416.0,221.0,36704.57
GeForce RTX 3060 12GB,580.0,1135.0,36678.82
GeForce RTX 3060 T,754.0,1935.0,36549.9
GeForce RTX 3070,858.0,1567.0,36480.85
GeForce RTX 3070 T,880.0,1097.0,36280.82
GeForce RTX 3080,1283.0,1355.0,36013.03
GeForce RTX 3080 12GB,1378.0,69.0,35847.7
GeForce RTX 3080 T,1531.0,687.0,35684.59
GeForce RTX 3090,2111.0,983.0,35592.35
GeForce RTX 3090 T,2724.0,11.0,35524.17
Radeon RX 6500 XT,221.0,61.0,35494.9
Radeon RX 6600,365.0,400.0,35365.2
Radeon RX 6600 XT,422.0,410.0,35309.3
Radeon RX 6700 XT,554.0,628.0,35071.43
Radeon RX 6800,755.0,198.0,35047.36
Radeon RX 6800 XT,845.0,326.0,34754.54
Radeon RX 6900 XT,1059.0,186.0,34688.98
GeForce RTX 3050,356.0,98.0,34647.67
GeForce RTX 3060 12GB,480.0,589.0,34644.45
GeForce RTX 3060 T,657.0,1747.0,34639.38
GeForce RTX 3070,777.0,1709.0,34227.64
GeForce RTX 3070 T,779.0,1037.0,34082.21
GeForce RTX 3080,1114.0,1419.0,33856.86
GeForce RTX 3080 12GB,1025.0,90.0,33839.04
GeForce RTX 3080 T,1291.0,665.0,33674.66
GeForce RTX 3090,1770.0,999.0,33581.63
GeForce RTX 3090 T,2300.0,66.0,33536.88
Radeon RX 6400,151.0,4.0,33515.57
Radeon RX 6500 XT,192.0,49.0,33450.19
Radeon RX 6600,290.0,174.0,33158.25
Radeon RX 6600 XT,350.0,375.0,32814.61
Radeon RX 6650 XT,400.0,0.0,32686.56
Radeon RX 6700 XT,477.0,389.0,32447.59
Radeon RX 6750 XT,511.0,4.0,32297.89
Radeon RX 6800,655.0,154.0,32160.91
Radeon RX 6800 XT,767.0,265.0,32118.06
Radeon RX 6900 XT,875.0,172.0,31783.49
Radeon RX 6950 XT,1600.0,2.0,31715.58
GeForce RTX 3050,315.0,139.0,31640.58
GeForce RTX 3060,424.0,804.0,31520.66
GeForce RTX 3060 T,579.0,1558.0,31421.25
GeForce RTX 3070,641.0,1364.0,31277.43
GeForce RTX 3070 T,710.0,850.0,31117.83
GeForce RTX 3080,899.0,1197.0,30815.94
GeForce RTX 3080 12GB,959.0,69.0,30406.69
GeForce RTX 3080 T,1134.0,617.0,30289.87
GeForce RTX 3090,1438.0,754.0,30278.94
GeForce RTX 3090 T,1829.0,44.0,30189.25
Radeon RX 6400,153.0,3.0,30083.46
Radeon RX 6500 XT,171.0,52.0,30074.61
Radeon RX 6600,258.0,221.0,29834.09
Radeon RX 6600 XT,299.0,417.0,29790.24
Radeon RX 6650 XT,368.0,43.0,29780.81
Radeon RX 6700 XT,407.0,421.0,29681.76
Radeon RX 6750 XT,513.0,5.0,29518.59
Radeon RX 6800,551.0,148.0,29448.74
Radeon RX 6800 XT,625.0,228.0,29409.92
Radeon RX 6900 XT,767.0,176.0,29159.5
Radeon RX 6950 XT,1069.0,10.0,29074.33
GeForce RTX 3050,304.0,124.0,28578.89
GeForce RTX 3060,379.0,646.0,24418.38
GeForce RTX 3060 T,461.0,1324.0,24096.19
GeForce RTX 3070,518.0,1472.0,23959.92
GeForce RTX 3070 T,620.0,634.0,23953.77
GeForce RTX 3080,728.0,1134.0,23856.25
GeForce RTX 3080 12GB,835.0,40.0,23792.0
GeForce RTX 3080 T,956.0,499.0,23647.99
GeForce RTX 3090,1098.0,885.0,23403.29
GeForce RTX 3090 T,1538.0,107.0,23326.49
Radeon RX 6400,157.0,7.0,23298.94
Radeon RX 6500 XT,162.0,44.0,23227.22
Radeon RX 6600,235.0,275.0,23154.09
Radeon RX 6600 XT,285.0,423.0,22981.77
Radeon RX 6650 XT,359.0,33.0,22687.08
Radeon RX 6700 XT,393.0,518.0,22608.3
Radeon RX 6750 XT,505.0,3.0,22582.4
Radeon RX 6800,513.0,149.0,22461.7
Radeon RX 6800 XT,615.0,188.0,22431.22
Radeon RX 6900 XT,697.0,160.0,22392.71
Radeon RX 6950 XT,843.0,9.0,22189.29
GeForce RTX 3050,288.0,116.0,21673.03
GeForce RTX 3060,355.0,478.0,21633.44
GeForce RTX 3060 T,437.0,1428.0,21582.6
GeForce RTX 3070,488.0,1459.0,21520.51
GeForce RTX 3070 T,593.0,549.0,21481.38
GeForce RTX 3080,696.0,1186.0,21402.93
GeForce RTX 3080 12GB,773.0,101.0,21387.58
GeForce RTX 3080 T,901.0,432.0,21377.51
GeForce RTX 3090,1057.0,828.0,21300.72
GeForce RTX 3090 T,1452.0,80.0,21292.67
Radeon RX 6400,143.0,14.0,21267.33
Radeon RX 6500 XT,153.0,50.0,21197.1
Radeon RX 6600,232.0,218.0,21088.3
Radeon RX 6600 XT,274.0,183.0,21020.04
Radeon RX 6650 XT,345.0,22.0,20920.33
Radeon RX 6700 XT,378.0,373.0,20816.16
Radeon RX 6750 XT,456.0,14.0,20772.36
Radeon RX 6800,486.0,102.0,20702.23
Radeon RX 6800 XT,563.0,144.0,20628.5
Radeon RX 6900 XT,685.0,266.0,20601.63
Radeon RX 6950 XT,914.0,11.0,20598.44
GeForce RTX 3050,279.0,78.0,20582.29
GeForce RTX 3060,339.0,722.0,20568.9
GeForce RTX 3060 T,424.0,1253.0,20540.38
GeForce RTX 3070,463.0,1284.0,20499.29
GeForce RTX 3070 T,547.0,556.0,20486.26
GeForce RTX 3080,665.0,1066.0,20434.75
GeForce RTX 3080 12GB,771.0,128.0,20342.25
GeForce RTX 3080 T,836.0,557.0,20290.41
GeForce RTX 3090,957.0,772.0,20288.52
GeForce RTX 3090 T,1247.0,123.0,20233.32
Radeon RX 6400,137.0,22.0,20223.69
Radeon RX 6500 XT,140.0,56.0,20219.55
Radeon RX 6600,204.0,295.0,20208.45
Radeon RX 6600 XT,238.0,519.0,20208.16
Radeon RX 6650 XT,300.0,19.0,20167.79
Radeon RX 6700 XT,337.0,575.0,20153.99
Radeon RX 6750 XT,430.0,11.0,20122.71
Radeon RX 6800,419.0,149.0,20101.27
Radeon RX 6800 XT,518.0,237.0,20047.68
Radeon RX 6900 XT,645.0,236.0,20035.59
Radeon RX 6950 XT,795.0,9.0,19994.65
GeForce RTX 3050,260.0,78.0,19953.71
GeForce RTX 3060,312.0,834.0,19952.91
GeForce RTX 3060 T,355.0,1611.0,19946.31
GeForce RTX 3070,409.0,1856.0,19865.7
GeForce RTX 3070 T,493.0,629.0,19834.94
GeForce RTX 3080,585.0,1520.0,19793.02
GeForce RTX 3080 12GB,684.0,158.0,19694.69
GeForce RTX 3080 T,754.0,682.0,19632.61
GeForce RTX 3090,834.0,1121.0,19598.86
GeForce RTX 3090 T,1117.0,202.0,19565.91
Radeon RX 6400,138.0,23.0,19550.07
Radeon RX 6500 XT,141.0,52.0,19548.97
Radeon RX 6600,182.0,337.0,19441.88
Radeon RX 6600 XT,221.0,642.0,19417.73
Radeon RX 6650 XT,299.0,17.0,19415.86
Radeon RX 6700 XT,313.0,633.0,19383.33
Radeon RX 6750 XT,430.0,2.0,19330.74
Radeon RX 6800,399.0,198.0,19327.53
Radeon RX 6800 XT,491.0,277.0,19280.58
Radeon RX 6900 XT,623.0,261.0,19280.08
Radeon RX 6950 XT,752.0,23.0,19227.26
GeForce RTX 3050,241.0,103.0,19226.7
GeForce RTX 3060,286.0,1106.0,19205.45
GeForce RTX 3060 T,320.0,1989.0,19171.34
GeForce RTX 3070,376.0,2278.0,19104.89
GeForce RTX 3070 T,459.0,821.0,19063.1
GeForce RTX 3080,562.0,2038.0,19049.72
GeForce RTX 3080 12GB,663.0,163.0,19049.64
GeForce RTX 3080 T,755.0,888.0,18977.51
GeForce RTX 3090,812.0,1789.0,18879.96
GeForce RTX 3090 T,1105.0,269.0,18807.71
