GPU,eBay Price,QTY Sold
GeForce RTX 3090,"$2,341",694
Radeon RX 6600 XT,$634,209
Radeon RX 6700 XT,$869,454
Radeon RX 6800,"$1,157",83
Radeon RX 6800 XT,"$1,212",159
Radeon RX 6900 XT,"$1,557",67
GeForce RTX 3060 12GB,$723,1215
GeForce RTX 3060 Ti,$933,1060
GeForce RTX 3070,"$1,205",971
GeForce RTX 3070 Ti,"$1,141",573
GeForce RTX 3080,"$1,708",911
GeForce RTX 3080 Ti,"$1,832",546
GeForce RTX 3090,"$2,567",632
Radeon RX 6600 XT,$593,450
Radeon RX 6700 XT,$825,445
Radeon RX 6800,"$1,232",101
Radeon RX 6800 XT,"$1,280",202
Radeon RX 6900 XT,"$1,620",64
GeForce RTX 3060 12GB,$707,1719
GeForce RTX 3060 Ti,$916,1988
GeForce RTX 3070,"$1,204",1029
GeForce RTX 3070 Ti,"$1,167",541
GeForce RTX 3080,"$1,666",1253
GeForce RTX 3080 Ti,"$1,880",651
GeForce RTX 3090,"$2,620",854
Radeon RX 6600 XT,$584,727
Radeon RX 6700 XT,$869,420
Radeon RX 6800,"$1,314",61
Radeon RX 6800 XT,"$1,328",149
Radeon RX 6900 XT,"$1,526",109
GeForce RTX 3060 12GB,$699,1581
GeForce RTX 3060 Ti,$930,1643
GeForce RTX 3070,"$1,213",955
GeForce RTX 3070 Ti,"$1,174",470
GeForce RTX 3080,"$1,672",888
GeForce RTX 3080 Ti,"$1,817",675
GeForce RTX 3090,"$2,750",647
Radeon RX 6600,$578,19
Radeon RX 6600 XT,$629,404
Radeon RX 6700 XT,$848,457
Radeon RX 6800,"$1,234",113
Radeon RX 6800 XT,"$1,287",131
Radeon RX 6900 XT,"$1,501",132
GeForce RTX 3060 12GB,$695,1235
GeForce RTX 3060 Ti,$899,1630
GeForce RTX 3070,"$1,138",1098
GeForce RTX 3070 Ti,"$1,111",694
GeForce RTX 3080,"$1,637",884
GeForce RTX 3080 Ti,"$1,830",681
GeForce RTX 3090,"$2,704",686
Radeon RX 6600,$559,106
Radeon RX 6600 XT,$631,1026
Radeon RX 6700 XT,$859,906
Radeon RX 6800,"$1,260",191
Radeon RX 6800 XT,"$1,314",285
Radeon RX 6900 XT,"$1,512",302
GeForce RTX 3060 12GB,$698,2446
GeForce RTX 3060 Ti,$907,3782
GeForce RTX 3070,"$1,144",2411
GeForce RTX 3070 Ti,"$1,124",1508
GeForce RTX 3080,"$1,666",1872
GeForce RTX 3080 Ti,"$1,829",1439
GeForce RTX 3090,"$2,737",1463
Radeon RX 6600,$588,377
Radeon RX 6600 XT,$665,857
Radeon RX 6700 XT,$945,661
Radeon RX 6800,"$1,332",123
Radeon RX 6800 XT,"$1,384",283
Radeon RX 6900 XT,"$1,599",206
GeForce RTX 3060 12GB,$749,2159
GeForce RTX 3060 Ti,"$1,002",2166
GeForce RTX 3070,"$1,193",2380
GeForce RTX 3070 Ti,"$1,201",1258
GeForce RTX 3080,"$1,720",1448
GeForce RTX 3080 Ti,"$1,895",1483
GeForce RTX 3090,"$2,936",1305
Radeon RX 6600,$578,346
Radeon RX 6600 XT,$659,282
Radeon RX 6700 XT,$898,584
Radeon RX 6800,"$1,282",90
Radeon RX 6800 XT,"$1,387",234
Radeon RX 6900 XT,"$1,527",236
GeForce RTX 3060 12GB,$761,2020
GeForce RTX 3060 Ti,"$1,007",2796
GeForce RTX 3070,"$1,179",1891
GeForce RTX 3070 Ti,"$1,244",1063
GeForce RTX 3080,"$1,783",1495
GeForce RTX 3080 Ti,"$1,992",1141
GeForce RTX 3090,"$2,918",1295
Radeon RX 6500 XT,$365,14
Radeon RX 6600,$516,449
Radeon RX 6600 XT,$610,537
Radeon RX 6700 XT,$847,540
Radeon RX 6800,"$1,150",105
Radeon RX 6800 XT,"$1,269",250
