GPU,eBay Price,QTY Sold
GeForce RTX 3060,$355,478
GeForce RTX 3060 Ti,$437,1428
GeForce RTX 3070,$488,1459
GeForce RTX 3070 Ti,$593,549
GeForce RTX 3080,$696,1186
GeForce RTX 3080 12GB,$773,101
GeForce RTX 3080 Ti,$901,432
GeForce RTX 3090,"$1,057",828
GeForce RTX 3090 Ti,"$1,452",80
Radeon RX 6400,$143,14
Radeon RX 6500 XT,$153,50
Radeon RX 6600,$232,218
Radeon RX 6600 XT,$274,183
Radeon RX 6650 XT,$345,22
Radeon RX 6700 XT,$378,373
Radeon RX 6750 XT,$456,14
Radeon RX 6800,$486,102
Radeon RX 6800 XT,$563,144
Radeon RX 6900 XT,$685,266
Radeon RX 6950 XT,$914,11
GeForce RTX 3050,$279,78
GeForce RTX 3060,$339,722
GeForce RTX 3060 Ti,$424,1253
GeForce RTX 3070,$463,1284
GeForce RTX 3070 Ti,$547,556
GeForce RTX 3080,$665,1066
GeForce RTX 3080 12GB,$771,128
GeForce RTX 3080 Ti,$836,557
GeForce RTX 3090,$957,772
GeForce RTX 3090 Ti,"$1,247",123
Radeon RX 6400,$137,22
Radeon RX 6500 XT,$140,56
Radeon RX 6600,$204,295
Radeon RX 6600 XT,$238,519
Radeon RX 6650 XT,$300,19
Radeon RX 6700,nan,0
Radeon RX 6700 XT,$337,575
Radeon RX 6750 XT,$430,11
Radeon RX 6800,$419,149
Radeon RX 6800 XT,$518,237
Radeon RX 6900 XT,$645,236
Radeon RX 6950 XT,$795,9
GeForce RTX 3050,$260,78
GeForce RTX 3060,$312,834
GeForce RTX 3060 Ti,$355,1611
GeForce RTX 3070,$409,1856
GeForce RTX 3070 Ti,$493,629
GeForce RTX 3080,$585,1520
GeForce RTX 3080 12GB,$684,158
GeForce RTX 3080 Ti,$754,682
GeForce RTX 3090,$834,1121
GeForce RTX 3090 Ti,"$1,117",202
